Castle On The Hill chords,G D Bm A D/F# G D G D Bm A7sus4 A7sus4 D/F# G Bm D/F# G Bm A D/F# G Bm A D/F# G Bm A A D D D/F# G Bm D D/F# G Bm D D/F# G Bm D D/F# G Bm A7sus4 D/F# G Bm D/F# G Bm D/F# G Bm D/F# G Bm A D G A D D D/F# G Bm D D/F# G Bm D D/F# G Bm D D/F# G Bm D D/F# G Bm D D/F# G Bm G D A7sus4
Torete chords,F#m Bm G D Bm D Bm D G Bm G F#m Bm F#m Bm F#m Bm F#m Bm F#m Bm F#m Bm
Happier chords,Am F F F Am F F F C F Am F F Am F F F Am F Am F Am F Am F F F F C F Am F C F Am F Am F Am F Am F Am F F C Am F Am F Am F Am F
Wish You Were Here chords,G Em7 G Em7 A7sus4 Em7 A7sus4 G Am/E D/F# C C Am/E G C Am G Em7 G Em7 A7sus4 Em7 A7sus4 Am/E G Am G Em7 G Em7 A7sus4 Em7 A7sus4
Attention chords,Dm C Am Dm C Am C Am C Am Dm Am Am Dm Am Dm Am C Am C Am Dm Am Am C Am C Am Dm Am Am
Stay With Me chords,Am7 F F F F Gsus Am F Am F Am F G#dim Am F F C F F Gsus Am F Am F Am F G#dim Am F Am F Am F C G Am F G#dim Am F Am F Am F Am F G#dim Am F Am F Am F Am F G#dim Am F
Galway Girl chords,Em D Em D Em D Em D C D Cadd9 G D Em Cadd9 G D Em D Em D G Em D C Am7 C D Cadd9 G Em Cadd9 G Em Cadd9 Em Cadd9 G D Em D Em Em D C Em C D Cadd9 G Em Cadd9 G Em Cadd9 Em Cadd9 G D G D Em
New Rules chords,F F F
Fix You Acoustic chords,C Em Am7 G C Em Am7 C Em Am7 C Em Am7 C Em Am7 C Em Am7 C Em Am7 C Em Am7 C Em Am7 G Em G Em G Em C Em Am7 C Em Am7 C Em Am7 C Em Am7 G Em G Em G Em F Am7 F Am7 Em G Em G Em
Theres Nothing Holdin Me Back chords,A D Bm D A G D Bm A D A G D A D A G D A D G D A D A Bm A D Bm A D D Bm D A D Bm D A
Hurt chords,C D Am C C D Am C D D Am C D D Am C D C D Am C D G F C F C Am F G F G C D Am C C D Am C D D Am C D D Am C D D Am C D F C F C Am F G F G Am F G F
Too Much To Ask chords,Am G G G Am G Dm C Dm C C Am C Am G G G G Dm C Dm C C Am G
House Of The Rising Sun chords,C D F Am E Am Am C D Am C Am C D Am E Am C D F Am E Am Am C D Am C Am C D Am E Am C D F Am E Am Am C D Am C Am C D Am E Am C D F Am E Am Am C D Am C Am C D Am E Am C D F Am E Am Am C D Am C Am C D Am E Am C D F Am E Am Am C D Am C Am C D Am E Am C D F Am E Am
Im Not The Only One chords,F C A Dm A Dm A Dm F C A Dm A Dm A Dm F C F A Dm F A Dm F A Dm F C A Dm A Dm A Dm F C F A Dm F A Dm F A Dm F C A A Bb F A Dm F A Dm F A Dm F C
Supermarket Flowers chords,C Em C Em C Em G F Dm7 F G C Em C Em G F Dm7 F G F C F C C Em G C Em F C Am F C G Em F G C Em C Em C Em Am G F F G F C F C C Em G C Em F C Am F C G Em Em Em G F Em C Em Am F C Am F C G
Imagine chords,C Cmaj7 F Cadd9 Cmaj7 F C Cmaj7 F C Cmaj7 F Cmaj7 Cmaj7 Cmaj7 Cmaj7 Am/E Dm7 F/C C/G Cmaj7 Cmaj7 Cmaj7 Cmaj7 Am/E Dm7 F/C C/G G C Cmaj7 E E7 G C Cmaj7 E E7 G C Cmaj7 E E7 G Cmaj7 Cmaj7 Cmaj7 Cmaj7 Am/E Dm7 F/C C/G G C Cmaj7 E E7 G C Cmaj7 E E7 G C Cmaj7 E E7 G
Dusk Till Dawn chords,F C F C Am F F C Am Am F
How Far Ill Go chords,Am Am C Am C Am Fm G Am G G C Am C Am C Am C Am Fm Cmaj7
The Sound Of Silence chords,F C Am F C F C Am G Am Am G Am F Am F F C G F F F G F F F G F F Am F G Am
Versace On The Floor chords,Em Em A F Dm Gm7 C C/E Em Dm Em G G Em Em F Am Gm7 C C/E Em Dm Em G G G Am G/B C C/E Dm G G# G D#m G# F# G#
Despacito chords,Em C G D Em C G D Em Em Em D D G D Em Em Em Em Em D
Country Roads chords,Em D C Em D C G D Em G D C Em D C Em D C G G D Em G D C D G C G Em F G D G D Em G D C G D Em G D C D G D
Iris chords,Bsus2 D Em Bm A D Em Bm A D Em Bm A D Em Bm A Bm A Bm A Bm A Bm A D Em Bm A D Em Bm A Bm A Bm A Bm A Bm A Bm/A D D Bm Bm/A G G Bm/A D D Bm Bm/A G G Bsus2 G G Bsus2 G G Bsus2 G G Bsus2 F#m G Bm G F#m Bm Bm G F#m Bm Bm Bm/A G G Bm/A G G
Skinny Love chords,C G C G C C Em C Am C C Em C Am G Em G Em Em Em C C Em C Am G Em G Em G Em Em Em Em C G C Em C Em C C G C G
Dive chords,C C Am F Am F G Am Am G Am F Am G Em Am F Am F Am G Am F Am G Em C Am F G C C Am F Am G Am F Am G Em Am G Em Am G Em
Say You Wont Let Go chords,D Em
The Scientist Acoustic chords,D Bb F Fsus Bb Bb Bb Bb Bb F Bb C/G D Bb F F F Bb F Bb Bb Bb Bb Bb Bb C/G Bb F Fsus D Bb F Fsus D Bb F F Bb F Bb F Bb F
Yellow Acoustic chords,A A Asus4 F#m E F#m E F#m E D E Esus4 D Dsus2 A A Asus4 E D A E D
Let It Go chords,C Em7 D C Em7 C Em7 C Em7 C Em7 Em/C# Em Em/C# C Em7 Am C Em7 Am G Em7 D C Em7 C Em7 C Em7 G C Em7 Em Em/C# Em Em/C# C Em C C Em Am Em7 D C Em C C Em7 C C Em7 C C Em7 D
More Than Words chords,Cadd9 Am7 C C D C D C D G D/F# Am7 D7 Cm D7 D/F# Em Bm G/B Am7 D7 D/F# Em7 Bm7 G/B D7 Cadd9 Am7 C C D G C D C D G D/F# G7 Cm D7 D/F# Em Bm G/B Am7 D7 D/F# Em7 Bm7 G/B D7
Believer chords,E F E F F E Am F F F F E E F F E F F F E E F E F F F E
Hey There Delilah chords,F#m D D Bm G A D Bm G A Bm Bm D Bm Bm D Bm D Bm G A F#m D Bm G A Bm D Bm Bm D Bm A Bm D A Bm D Bm G A A A Bm Bm D Bm Bm D Bm D Bm D Bm D Bm D
Wonderwall chords,G D A7sus4 D A7sus4 G D D D A7sus4 C D D D G A7sus4 Em G D C D C D C D D C Em Em C Em Em C Em Em C Em G Em G D D Em G D C D C D C D Em D D C Em Em C Em Em C Em Em C Em G C Em Em C Em Em C Em Em C Em G C Em Em C Em Em C Em Em C Em G
Too Good At Goodbyes Acoustic chords,G G Am G Am G G G Am G Am G G Am G Am G
Slow Hands chords,F F G G Am E E Am E7 Am G C Am Am Am Am Am G G G G G Am Am G G G G G G G G G G G G
Two Less Lonely People In The World chords,Bm C D Em D Am D C D Bm C Em D Am D C D Bm C Bm C Em D Am D C D Bm C Bm C Em C C Bbm Eb Ab Cm Db
Jolene chords,Am C G G Am C G G Em Am G G Em Am C G G Em Am G G Em Am G G Em Am C G G Am C G G Em Am G G Em Am G G Em Am C G G Am C G G Em
Radioactive chords,C D C G C G C Am C G C G C G C D C C G C Am G C G C G C G C G Am G C G C GWhats Up chords,Am C G G Am C C C G Am C G C G C G C Am C Am C G C G G Am C G C G C G C G C G C Am C
Dancing On My Own chords,G G G G G G G G G G G G G G G G C G G Am G G Am G C G G G G G G G F G F
Stitches chords,G C G C G C G G Am G C Am G C Am G C G C C Am G C Am F G C F Am G C Am
Sign Of The Times chords,F Dmin C C7 C Am G G7 F Dm C7 C7 Bb
Knockin On Heavens Door chords,D A Em7 A A A A A A A A A A A A A A A A A A A A A
Take Me To Church chords,Am Am Am Am Am Am Am Am C Em Am Am Am Am C G C G Cm G F# Am Am Am G B7 C G B7 C G B7 C G B7 Em D C G Cm G Cm G F
Stay chords,Dm Am Am7/G Am Am7/G Am Am7/G Am Am7/G Dm Am Am7/G Am Am7/G Am Am7/G Am Am7/G Dm Am Am7/G Am Am7/G Am C Dm Am Am7/G Am Am7/G Am C Dm Am Am7/G Am Am7/G Am C Dm Am Am7/G Am Am7/G Am F Dm Am F Dm C Dm Am Dm Am C Dm Am Am7/G Am Am7/G Am Dm Am Am7/G Am Am7/G Am C Dm Am Am7/G Am Am7/G Am F Dm Am Am7/G Am Am7/G F Dm C Dm Am C Dm Am C Dm Am Am7/G Am Am7/G Am F Am Dm Em F Am Dm F F C Dm Am C Dm Am C Dm Am C Dm Am C Am
Father And Son chords,G D C G Am G D C G Em Am C G G Bm7 C G Em Am C G G Bm7 C G Em D G Bm C G Em Am C G G Bm C G Em D D C G Bm C Am7 G Em Am C G D
Shape Of You chords,#m F#m A C#m A A C#m A C#m A B B B F#m B F#m B F#m B F#m F#m A F#m A F#m A F#m A C#m A C#m A C#m A B B B F#m B F#m B F#m B F#m F#m A F#m A F#m A F#m F#m F#m F#m B F#m B F#m B F#m F#m F#m F#m F#m
One More Light chords,Cadd9 G D/F# Em Cadd9 G Em Cadd9 G Em Cadd9 G Em Cadd9 Cadd9 D/F# Cadd9 D/F# Am G Em Cadd9 G Em Cadd9 G Em Cadd9 D/F# Em Cadd9 Cadd9 D/F# Cadd9 D/F# Am G Cadd9 G D/F# Em Cadd9 Cadd9 D/F# Cadd9 D/F# Am
Redemption Song chords,G Em C G/B Em C G/B G Em G/B G Em C Am7 G C D C D Em C D G C D G C D G Em C G/B C G/B G Em C G/B G C Am7 G C D C D Em C D G C D G C D G C C D C D C D C D G Em C G/B G C G/B G Em C G/B G C Am7 G C D C D Em C D G C D Em C D Em D G C D C/B Am
Have You Ever Seen The Rain chords,F/C C G C C C C C/B Am C C/B Am G C C C C C/B Am C C/B Am G C C C/B Am C C/B Am G C G C
Chandelier chords,Em G G C G C G C G C F C F C F G G C G C G C G C F C F C F
Halo chords,Am Em C G Am Em C Em C
Make You Feel My Love chords,D7 F D7 C D7 D7 D F C Cm G A7 D7 G
Chasing Cars chords,E/G# D E/G# D A D E/G# D E/G# D A D A D E/G# D E/G# D A D A E/G# D A D A E/G# D E/G# D
Issues chords,C C C G C G C C G C G C D G D G C G C G C
All I Ask chords,Em F C G E Am A7 A7/C# G7 G/B A7 A7/C# C G/B C/E F/G F G E Am A7 A7/C# G7 G/B A7 A7/C# C G/B C/E F/G F Em F/G G7 G/F E E/G# E/B A#7 A#/D G#7 G#7/C A#7 A#/D G#7 C# G#/C C#/F F#/G# G#7sus4
Hey Soul Sister chords,G Am C G Am C G Am F C G Am C G Am F G G C G G C G C G F C G Am G Am C G Am F C G Am C G F G C G G C G C G F F F G C G G C G C G F G C G F G C G Am F G C G Am F
Lost Stars chords,Em Em Em D G Em Em Em D G D G D G
Counting Stars chords,Am C Am C Am C C C C Am C Am Am Am Am
Say Something chords,F C G F C G F C G F C F C G C Em C C Em C F C G F C G F C F C G C Em C F C G F C G F C F C G
Faded chords,F C Am Am C C Am C G Am G Am C F G C Am C G Am G Am
Treat You Better chords,G F G Am G G Am G C Am G F C F Am G G Am G G Am G Am G Am G F C F Am G C G C Am G Am G F Am G F F Am G G F G F G F
